            lon        lat         inc      D1AU     delta  launch radius  launch speed    t factor  expansion rate  B decay rate       B1AU     gamma         vsw
110  275.262421   0.045410  338.414276  0.341666  1.087975       8.042374    328.715790 -217.034973            1.14          1.64  11.099933  1.426314  594.354370
111  262.946045  11.930571  335.646698  0.245823  1.103358       6.967263    545.206848 -252.573364            1.14          1.64   8.684958  1.754093  428.776764
112  260.025604  -5.067204  343.881897  0.322361  2.242761       9.182727    418.459351 -288.258545            1.14          1.64   8.229923  0.607574  686.596497
113  261.545380   9.118506  338.989136  0.272022  1.262399       8.008624    472.479919 -270.671600            1.14          1.64   7.918071  1.736702  588.943237
114  271.909943  -0.014878  341.944946  0.338923  1.005731       6.090238    486.490326 -177.771301            1.14          1.64  10.744006  2.829523  452.261444
115  255.650742   3.120589  342.791443  0.278711  1.860487       9.640962    365.133728 -291.610382            1.14          1.64   7.357507  2.962261  680.214844
116  266.909210   2.919146  330.769012  0.329787  1.960352       7.709857    447.178467 -246.944885            1.14          1.64   8.085737  0.993535  380.835236
117  273.342621   0.622092  334.828369  0.332737  1.339439       9.471149    269.681427 -210.440857            1.14          1.64   9.700383  2.588243  497.340393
118  275.963745  -1.053924  337.121918  0.332594  1.358123       9.459437    253.162903 -293.032990            1.14          1.64  11.046300  2.638982  481.490692
119  280.497864  -2.626396  340.530914  0.314189  1.155519       6.353343    536.102173 -221.524246            1.14          1.64  10.351590  1.975577  214.869278
120  266.139954  10.635585  332.318634  0.285470  1.157865      10.154876    314.423157 -252.020615            1.14          1.64   8.565228  1.408747  567.337708
121  275.567688   3.436903  330.316528  0.293755  1.362111       7.246951    475.169769 -247.405762            1.14          1.64  10.595906  2.962672  271.629150
122  266.200562   5.336996  339.680939  0.306325  1.074219       6.367014    568.436096 -216.460190            1.14          1.64   8.271880  2.221907  376.130524
123  250.833237   5.668371  345.860077  0.232258  1.571821       6.933283    722.128296 -277.216064            1.14          1.64   7.420317  0.255086  262.057098
124  274.400482   1.347230  340.156036  0.283177  1.099135       6.989532    421.619934 -222.740631            1.14          1.64   9.415507  2.211998  409.359680
125  267.906677   1.346949  340.262695  0.313546  1.411300       7.367080    451.213898 -208.411285            1.14          1.64   8.230816  2.253244  484.595001
126  263.101013   6.348831  342.299713  0.289632  1.275847       6.519495    521.031006 -283.913116            1.14          1.64   7.752484  2.812476  620.167480
127  262.422760   8.073249  336.946106  0.321024  1.306832       7.841116    500.003174 -237.486526            1.14          1.64   8.335869  1.651242  535.878235
128  267.626831   5.306711  334.910217  0.337752  1.416693       7.763490    438.016541 -261.989532            1.14          1.64   8.942112  1.777235  521.879395
129  265.542419   7.986051  338.097290  0.313020  1.076952       6.466674    551.003357 -245.020721            1.14          1.64   8.606971  2.452274  423.016357
130  268.647675   1.535990  341.414307  0.329387  1.148805       6.532666    495.459686 -208.280792            1.14          1.64   9.721029  1.648315  434.814880
131  276.065247   4.562794  328.224304  0.345617  1.231650       8.212627    345.653137 -219.632797            1.14          1.64  10.836966  0.758350  549.279663
132  272.524353  -7.441430  350.480072  0.326255  1.505716       8.146584    398.355865 -289.849030            1.14          1.64  10.428922  1.388071  412.049377
133  269.417145   4.038065  335.727264  0.260864  1.492134       9.406750    354.615662 -290.433380            1.14          1.64   8.718972  2.235103  423.932251
134  272.832672   2.473439  339.122742  0.315242  1.025156       7.733156    369.831146 -247.758408            1.14          1.64  10.897690  0.829064  627.776489
135  269.785767   3.638721  341.292664  0.267211  1.105466       8.487435    358.183105 -263.037323            1.14          1.64   8.915346  2.507964  514.016235
136  271.181061  -4.223749  349.031769  0.321668  1.263587       6.772146    440.917450 -219.586792            1.14          1.64  10.162203  2.367664  570.023926
137  262.181061  -2.577098  348.241943  0.305240  1.454589       6.553225    560.284851 -222.806656            1.14          1.64   8.736527  0.711403  403.250519
138  264.606232   3.808642  334.015472  0.340554  1.987366       8.053734    456.563141 -279.025024            1.14          1.64   9.125906  2.580740  432.934204
139  271.112061   9.524684  326.991211  0.314983  1.436942       6.601110    542.629822 -270.914886            1.14          1.64   9.434932  2.347597  308.420837
140  263.134979   8.429006  333.863251  0.342204  1.522684       8.541602    424.942078 -225.504868            1.14          1.64   8.970893  1.562127  635.510376
141  269.243652   4.581564  334.948364  0.316908  1.342509       8.749310    385.577820 -214.169678            1.14          1.64   9.067808  0.845362  501.901459
142  272.444061   4.854752  330.854462  0.314467  1.368290       7.363213    474.380310 -242.746948            1.14          1.64  10.438785  1.541347  250.541183
143  266.913025   7.726865  332.669159  0.327483  1.433814       8.359519    384.557037 -217.407715            1.14          1.64   8.176118  1.461094  602.824280
144  265.267700  -3.013658  350.515015  0.304088  1.043004       7.306138    501.975250 -194.428665            1.14          1.64   8.804090  1.474723  403.062164
145  275.669586   0.512539  337.040985  0.341638  1.214719       6.408571    498.958160 -283.456726            1.14          1.64  11.692730  0.677340  182.967072
146  267.031830   8.569803  333.557770  0.322753  1.124068       7.407545    402.365601 -196.714096            1.14          1.64   9.086702  2.086196  654.227051
147  274.125854   1.867613  333.088959  0.332624  1.444286       7.708204    432.486450 -259.071411            1.14          1.64  10.830269  2.140883  284.197754
148  258.355804   9.595291  338.468536  0.317988  1.415981       6.372873    617.996643 -277.440613            1.14          1.64   8.049355  1.096627  524.369202
149  276.666351  -2.848152  342.180542  0.287133  1.359580       8.021852    403.521088 -297.372894            1.14          1.64  10.508913  0.487601  142.470383
150  274.801422   2.950665  333.878876  0.284074  1.349034       6.625860    510.801300 -259.566711            1.14          1.64  10.397895  0.684338  110.369316
151  271.707581  10.737574  326.025085  0.282687  1.238782       8.829054    391.547363 -291.699585            1.14          1.64   9.975019  0.861047  267.364563
152  265.074982   0.144400  341.636444  0.339179  1.626514       8.856347    361.073944 -262.008026            1.14          1.64   8.535772  2.004311  589.359558
153  264.533997  -2.584081  339.208771  0.340386  2.033368       9.439830    376.059448 -287.221252            1.14          1.64   8.912887  0.746207  565.427002
154  266.975922   2.568676  344.365265  0.284849  1.029248       7.321244    408.788269 -286.102356            1.14          1.64   9.978678  1.746231  620.831909
155  279.851685   0.490369  333.111206  0.321362  1.072575       9.026038    238.026215 -236.260239            1.14          1.64  11.673075  2.875451  472.639862
156  274.554749  -4.611659  349.796478  0.292497  1.125066       6.583177    534.597595 -225.973419            1.14          1.64  10.644973  2.788560  286.691681
157  273.013916  -1.154514  336.716187  0.329152  1.604159       9.905400    207.791229 -258.030396            1.14          1.64   9.852681  1.718066  561.551392
158  265.953430   2.901571  341.834778  0.297165  1.381472       8.100585    396.255859 -244.768967            1.14          1.64   9.188416  0.820336  665.805908
159  267.398804  12.017157  331.336456  0.331993  1.070254       8.139759    336.676147 -231.748672            1.14          1.64   8.622562  2.883979  638.263000
160  263.557861   5.082319  333.154907  0.319286  1.844810       9.001147    408.106506 -241.065292            1.14          1.64   8.327453  1.342705  548.410950
161  271.861481   7.480457  330.007324  0.310788  1.216607       8.772569    300.021912 -229.303879            1.14          1.64  10.146500  2.033183  570.101135
162  272.947144   0.364056  342.760162  0.287404  1.172223       6.605289    453.691833 -254.087936            1.14          1.64   9.963279  1.086700  428.023834
163  258.585541  -0.090949  343.591644  0.320368  1.758394       7.871636    478.376465 -205.336044            1.14          1.64   7.112298  1.747397  695.737488
164  268.300873   1.045440  338.619934  0.302017  1.682800       7.442933    453.635071 -261.421478            1.14          1.64   9.368557  1.328528  352.389832
165  269.881500  13.845365  323.127411  0.329541  1.456074       6.133026    593.570923 -268.980347            1.14          1.64   9.095483  2.553509  351.877411
166  267.552155   3.715414  342.483032  0.242307  1.149076       9.527248    344.330963 -292.367584            1.14          1.64   8.701894  0.816442  547.925049
167  268.848358   5.707983  328.879028  0.318768  1.743324      10.718871    215.560638 -262.836975            1.14          1.64   9.552689  0.991122  628.945801
168  270.136841   2.679148  331.376343  0.340250  1.763968       8.236638    362.798798 -247.834564            1.14          1.64   9.778079  1.007072  599.350525
169  260.571747  -1.942272  339.631104  0.336945  2.312260       7.449465    486.303711 -284.396851            1.14          1.64   8.328322  1.226452  631.243286
170  263.753113   2.167725  341.307861  0.319241  1.350541       8.447245    427.710999 -192.568069            1.14          1.64   8.259238  1.612595  551.778931
171  269.672333   0.467981  336.730804  0.328146  1.550238       9.080251    355.871368 -249.668365            1.14          1.64   9.555763  0.306253  660.282776
172  260.551208   9.440473  335.121216  0.292160  1.800111       7.767777    548.838562 -287.736237            1.14          1.64   7.936087  2.278216  393.644073
173  270.471588   7.783862  331.824402  0.298719  1.235230       8.916883    341.444031 -298.632599            1.14          1.64  10.239255  1.029111  571.264648
174  267.819214   8.682139  334.656036  0.300915  1.126891       6.524618    563.026550 -276.389801            1.14          1.64   8.578613  1.769085  323.726318
175  277.898102  -0.259848  337.088806  0.307191  1.160519       9.171461    268.524231 -241.351013            1.14          1.64  10.543158  0.933579  551.644409
176  273.700623   5.995128  333.815002  0.321479  1.034646       9.259543    222.409683 -265.952209            1.14          1.64  10.616368  1.738969  604.118896
177  264.507721  -1.731703  349.956024  0.297567  1.139175       6.823575    541.900757 -265.380890            1.14          1.64   7.937383  0.574820  271.895081
178  260.104980  -1.569258  338.023163  0.338902  2.413175       8.696583    465.226654 -280.623871            1.14          1.64   8.137690  1.405473  438.399567
179  278.614227  -5.723540  346.314026  0.310452  1.307476       8.952518    333.287201 -271.950775            1.14          1.64  11.459480  2.365977  302.714844
180  266.815643   3.987374  341.218201  0.311560  1.218061       8.157096    314.515106 -257.735229            1.14          1.64   9.630109  2.834312  623.916260
181  271.456207   5.308268  332.432892  0.338332  1.592129       6.883206    448.258301 -282.207062            1.14          1.64   8.992809  0.207964  614.093262
182  268.903717   1.445885  338.527954  0.335441  1.571273       8.228589    344.422180 -268.091644            1.14          1.64   9.909990  1.649857  596.110779
183  265.778442   2.359829  334.572052  0.311197  1.980672       7.751338    458.656097 -291.748260            1.14          1.64   9.095154  1.158950  363.824463
184  270.276306   5.970500  335.020752  0.315447  1.204111       6.170992    539.267090 -224.793579            1.14          1.64   8.758821  1.359817  299.787292
185  260.367554   9.070515  335.916046  0.342138  1.428632       8.264497    446.882904 -232.525803            1.14          1.64   8.483138  1.994140  676.705444
186  276.276733  -0.783097  338.759155  0.297628  1.248731       9.891692    254.514374 -289.103333            1.14          1.64  10.739706  2.628361  421.817413
187  269.591675   5.662716  336.137848  0.339141  1.104058       9.770479    230.073196 -238.057190            1.14          1.64   9.601857  1.147972  659.065796
188  271.676483   4.438076  335.739380  0.317748  1.089935       7.410575    440.668274 -241.295181            1.14          1.64   9.929865  1.836309  401.440216
189  269.694183   0.203099  334.249329  0.347594  1.821203       8.013876    415.386383 -253.470795            1.14          1.64   9.631923  1.833103  408.934082
190  275.242706   1.929142  334.994019  0.270747  1.315354       8.861288    361.271240 -299.064514            1.14          1.64  10.452964  0.967059  184.108978
191  270.100739   5.181544  336.099274  0.300394  1.184036       9.101418    292.960510 -262.375244            1.14          1.64  10.033472  2.329428  559.915466
192  259.042908   5.625295  337.430573  0.276090  2.169525       9.191559    468.429016 -274.227478            1.14          1.64   7.795511  0.732104  451.789795
193  272.346588  -0.379869  339.791595  0.306187  1.572031       7.398201    479.132324 -274.922546            1.14          1.64   9.286796  0.679013  129.552170
194  267.898529   4.029733  339.370300  0.291737  1.100642       7.412321    458.490784 -238.440750            1.14          1.64   9.538862  0.913652  369.686493
195  272.806580   0.538854  342.337555  0.335090  1.086093       6.384593    472.048126 -245.690781            1.14          1.64  10.375362  2.990107  487.812286
196  274.046936   1.411839  332.525635  0.340063  1.385995       7.638732    408.375580 -262.880280            1.14          1.64  10.263189  1.067331  338.353638
197  263.529724   4.230862  341.364380  0.348110  1.030214       6.578442    536.496887 -182.013687            1.14          1.64   8.381817  0.886260  488.229431
198  263.582764   4.177408  343.782166  0.294770  1.083230       6.667528    515.107727 -258.436981            1.14          1.64   8.739794  2.967418  563.899292
199  261.543304   8.238659  341.479980  0.257895  1.063810       7.030719    511.483276 -243.723160            1.14          1.64   8.597637  1.242501  662.588257
200  267.997772   6.502454  328.479340  0.337184  1.861130       7.555742    448.583679 -276.548462            1.14          1.64   8.602991  0.439294  399.807434
201  280.122009  -0.917073  336.688629  0.320771  1.203121       8.083611    340.702026 -236.461624            1.14          1.64  11.329961  2.476825  446.829620
202  285.345551  -5.543180  337.061249  0.344216  1.188723       7.269400    464.245575 -229.193939            1.14          1.64  11.475974  2.905806  226.759644
203  270.739075   3.711802  338.866302  0.303340  1.169623       6.813231    453.797119 -262.672211            1.14          1.64   9.827071  0.632896  481.287720
204  265.283325  13.558322  327.314758  0.339619  1.499338       6.094740    613.110168 -274.965759            1.14          1.64   8.856781  2.297513  399.009613
205  265.898621   4.219232  338.271271  0.265259  1.545583       8.358277    432.834961 -284.462708            1.14          1.64   8.861178  0.587105  309.277649
206  258.625458   6.776506  339.966217  0.313189  1.589907       7.119547    541.748596 -285.491699            1.14          1.64   8.158918  2.400311  657.917236
